Date,PX_LAST
2000-01-31,6.649
2000-02-01,6.629
2000-02-02,6.636
2000-02-03,6.556
2000-02-04,6.665
2000-02-07,6.713
2000-02-08,6.714
2000-02-09,6.681
2000-02-10,6.695
2000-02-11,6.693
2000-02-14,6.67
2000-02-15,6.682
2000-02-16,6.676
2000-02-17,6.718
2000-02-18,6.671
2000-02-21,6.63
2000-02-22,6.572
2000-02-23,6.643
2000-02-24,6.572
2000-02-25,6.49
2000-02-28,6.59
2000-02-29,6.597
2000-03-01,6.579
2000-03-02,6.579
2000-03-03,6.574
2000-03-06,6.598
2000-03-07,6.55
2000-03-08,6.563
2000-03-09,6.533
2000-03-10,6.599
2000-03-13,6.557
2000-03-14,6.504
2000-03-15,6.528
2000-03-16,6.486
2000-03-17,6.474
2000-03-20,6.511
2000-03-21,6.493
2000-03-22,6.457
2000-03-23,6.481
2000-03-24,6.596
2000-03-27,6.603
2000-03-28,6.554
2000-03-29,6.543
2000-03-30,6.458
2000-03-31,6.428
2000-04-03,6.373
2000-04-04,6.228
2000-04-05,6.246
2000-04-06,6.337
2000-04-07,6.301
2000-04-10,6.197
2000-04-11,6.282
2000-04-12,6.313
2000-04-13,6.282
2000-04-14,6.203
2000-04-17,6.325
2000-04-18,6.331
2000-04-19,6.295
2000-04-20,6.295
2000-04-21,6.301
2000-04-24,6.332
2000-04-25,6.431
2000-04-26,6.468
2000-04-27,6.593
2000-04-28,6.618
2000-05-01,6.656
2000-05-02,6.669
2000-05-03,6.72
2000-05-04,6.745
2000-05-05,6.823
2000-05-08,6.849
2000-05-09,6.83
2000-05-10,6.78
2000-05-11,6.78
2000-05-12,6.877
2000-05-15,6.82
2000-05-16,6.84
2000-05-17,6.836
2000-05-18,6.884
2000-05-19,6.823
2000-05-22,6.77
2000-05-23,6.772
2000-05-24,6.82
2000-05-25,6.732
2000-05-26,6.682
2000-05-29,
2000-05-30,6.738
2000-05-31,6.661
2000-06-01,6.561
2000-06-02,6.516
2000-06-05,6.469
2000-06-06,6.488
2000-06-07,6.512
2000-06-08,6.519
2000-06-09,6.528
2000-06-12,6.481
2000-06-13,6.475
2000-06-14,6.404
2000-06-15,6.411
2000-06-16,6.335
2000-06-19,6.366
2000-06-20,6.391
2000-06-21,6.475
2000-06-22,6.464
2000-06-23,6.533
2000-06-26,6.443
2000-06-27,6.438
2000-06-28,6.432
2000-06-29,6.367
2000-06-30,6.363
2000-07-03,6.297
2000-07-05,6.292
2000-07-06,6.335
2000-07-07,6.289
2000-07-10,6.314
2000-07-11,6.326
2000-07-12,6.358
2000-07-13,6.285
2000-07-14,6.397
2000-07-17,6.447
2000-07-18,6.436
2000-07-19,6.442
2000-07-20,6.296
2000-07-21,6.286
2000-07-24,6.323
2000-07-25,6.311
2000-07-26,6.312
2000-07-27,6.282
2000-07-28,6.296
2000-07-31,6.291
2000-08-01,6.242
2000-08-02,6.212
2000-08-03,6.206
2000-08-04,6.134
2000-08-07,6.178
2000-08-08,6.135
2000-08-09,6.142
2000-08-10,6.117
2000-08-11,6.194
2000-08-14,6.188
2000-08-15,6.226
2000-08-16,6.248
2000-08-17,6.237
2000-08-18,6.198
2000-08-21,6.192
2000-08-22,6.175
2000-08-23,6.117
2000-08-24,6.106
2000-08-25,6.114
2000-08-28,6.156
2000-08-29,6.18
2000-08-30,6.169
2000-08-31,6.087
2000-09-01,6.023
2000-09-04,6.018
2000-09-05,6.018
2000-09-06,6.049
2000-09-07,6.067
2000-09-08,6.039
2000-09-11,6.07
2000-09-12,6.065
2000-09-13,6.023
2000-09-14,6.03
2000-09-15,6.002
2000-09-18,5.972
2000-09-19,5.991
2000-09-20,6.016
2000-09-21,5.98
2000-09-22,6.0
2000-09-25,5.988
2000-09-26,5.953
2000-09-27,5.953
2000-09-28,5.96
2000-09-29,5.95
2000-10-02,5.926
2000-10-03,5.957
2000-10-04,5.982
2000-10-05,5.964
2000-10-06,5.948
2000-10-09,5.954
2000-10-10,5.93
2000-10-11,5.894
2000-10-12,5.797
2000-10-13,5.817
2000-10-16,5.842
2000-10-17,5.775
2000-10-18,5.769
2000-10-19,5.776
2000-10-20,5.771
2000-10-23,5.728
2000-10-24,5.753
2000-10-25,5.828
2000-10-26,5.847
2000-10-27,5.873
2000-10-30,5.892
2000-10-31,5.887
2000-11-01,5.838
2000-11-02,5.832
2000-11-03,5.896
2000-11-06,5.928
2000-11-07,5.947
2000-11-08,5.923
2000-11-09,5.911
2000-11-10,5.862
2000-11-13,5.857
2000-11-14,5.87
2000-11-15,5.845
2000-11-16,5.802
2000-11-17,5.828
2000-11-20,5.81
2000-11-21,5.798
2000-11-22,5.767
2000-11-23,5.742
