,US CPI Urban Consumers SA,US CPI Urban Consumers NSA,University of Michigan Consumer Sentiment Index,Conference Board Consumer Confidence SA 1985=100
,CPI Index,CPURNSA Index,CONSSENT Index,CONCCONF Index
12/31/1999,168.8,168.3,105.4,141.7
1/31/2000,169.3,168.8,112,144.7
2/29/2000,170,169.8,111.3,140.8
3/31/2000,171,171.2,107.1,137.1
4/30/2000,170.9,171.3,109.2,137.7
5/31/2000,171.2,171.5,110.7,144.7
6/30/2000,172.2,172.4,106.4,139.2
7/31/2000,172.7,172.8,108.3,143
8/31/2000,172.7,172.8,107.3,140.8
9/30/2000,173.6,173.7,106.8,142.5
10/31/2000,173.9,174,105.8,135.8
11/30/2000,174.2,174.1,107.6,132.6
12/31/2000,174.6,174,98.4,128.6
1/31/2001,175.6,175.1,94.7,115.7
2/28/2001,176,175.8,90.6,109.2
3/31/2001,176.1,176.2,91.5,116.9
4/30/2001,176.4,176.9,88.4,109.9
5/31/2001,177.3,177.7,92,116.1
6/30/2001,177.7,178,92.6,118.9
7/31/2001,177.4,177.5,92.4,116.3
8/31/2001,177.4,177.5,91.5,114
9/30/2001,178.1,178.3,81.8,97
10/31/2001,177.6,177.7,82.7,85.3
11/30/2001,177.5,177.4,83.9,84.9
12/31/2001,177.4,176.7,88.8,94.6
1/31/2002,177.7,177.1,93,97.8
2/28/2002,178,177.8,90.7,95
3/31/2002,178.5,178.8,95.7,110.7
4/30/2002,179.3,179.8,93,108.5
5/31/2002,179.5,179.8,96.9,110.3
6/30/2002,179.6,179.9,92.4,106.3
7/31/2002,180,180.1,88.1,97.4
8/31/2002,180.5,180.7,87.6,94.5
9/30/2002,180.8,181,86.1,93.7
10/31/2002,181.2,181.3,80.6,79.6
11/30/2002,181.5,181.3,84.2,84.9
12/31/2002,181.8,180.9,86.7,80.7
1/31/2003,182.6,181.7,82.4,78.8
2/28/2003,183.6,183.1,79.9,64.8
3/31/2003,183.9,184.2,77.6,61.4
4/30/2003,183.2,183.8,86,81
5/31/2003,182.9,183.5,92.1,83.6
6/30/2003,183.1,183.7,89.7,83.5
7/31/2003,183.7,183.9,90.9,77
8/31/2003,184.5,184.6,89.3,81.7
9/30/2003,185.1,185.2,87.7,77
10/31/2003,184.9,185,89.6,81.7
11/30/2003,185,184.5,93.7,92.5
12/31/2003,185.5,184.3,92.6,94.8
1/31/2004,186.3,185.2,103.8,97.7
2/29/2004,186.7,186.2,94.4,88.5
3/31/2004,187.1,187.4,95.8,88.5
4/30/2004,187.4,188,94.2,93
5/31/2004,188.2,189.1,90.2,93.1
6/30/2004,188.9,189.7,95.6,102.8
7/31/2004,189.1,189.4,96.7,105.7
8/31/2004,189.2,189.5,95.9,98.7
9/30/2004,189.8,189.9,94.2,96.7
10/31/2004,190.8,190.9,91.7,92.9
11/30/2004,191.7,191,92.8,92.6
12/31/2004,191.7,190.3,97.1,102.7
