Date,PX_LAST
2006-10-12,8.49
2006-10-13,8.5833
2006-10-16,8.6433
2006-10-17,8.5867
2006-10-18,8.5233
2006-10-19,8.57
2006-10-20,8.4767
2006-10-23,8.54
2006-10-24,8.4633
2006-10-25,8.5267
2006-10-26,8.5667
2006-10-27,8.5
2006-10-30,
2006-10-31,8.5167
2006-11-01,8.34
2006-11-02,8.3267
2006-11-03,8.34
2006-11-06,8.49
2006-11-07,8.5567
2006-11-08,8.58
2006-11-09,8.58
2006-11-10,8.5467
2006-11-13,8.63
2006-11-14,8.73
2006-11-15,8.7733
2006-11-16,8.7667
2006-11-17,8.7
2006-11-20,8.7167
2006-11-21,8.7267
2006-11-22,8.79
2006-11-24,8.7233
2006-11-27,8.5367
2006-11-28,8.5567
2006-11-29,8.61
2006-11-30,8.66
2006-12-01,8.5667
2006-12-04,8.76
2006-12-05,8.7733
2006-12-06,8.76
2006-12-07,8.69
2006-12-08,8.7
2006-12-11,8.6967
2006-12-12,8.6567
2006-12-13,8.6633
2006-12-14,8.7567
2006-12-15,8.7333
2006-12-18,8.6633
2006-12-19,8.66
2006-12-20,8.68
2006-12-21,8.6133
2006-12-22,8.56
2006-12-26,8.6133
2006-12-27,8.7167
2006-12-28,8.7033
2006-12-29,8.6233
2007-01-03,8.61
2007-01-04,8.7333
2007-01-05,8.6133
2007-01-08,8.65
2007-01-09,8.6633
2007-01-10,8.6933
2007-01-11,8.7633
2007-01-12,8.79
2007-01-16,8.7767
2007-01-17,8.75
2007-01-18,8.5667
2007-01-19,8.5567
2007-01-22,8.5067
2007-01-23,8.56
2007-01-24,8.7133
2007-01-25,8.5833
2007-01-26,8.6333
2007-01-29,8.63
2007-01-30,8.7
2007-01-31,8.7067
2007-02-01,8.76
2007-02-02,8.803
2007-02-05,8.8267
2007-02-06,8.83
2007-02-07,8.9267
2007-02-08,8.9233
2007-02-09,8.81
2007-02-12,8.7733
2007-02-13,8.81
2007-02-14,8.9367
2007-02-15,8.9567
2007-02-16,8.9233
2007-02-20,8.9967
2007-02-21,9.01
2007-02-22,9.04
2007-02-23,9.0233
2007-02-26,8.9833
2007-02-27,8.6567
2007-02-28,8.6467
2007-03-01,8.6467
2007-03-02,8.5367
2007-03-05,8.44
2007-03-06,8.6167
2007-03-07,8.58
2007-03-08,8.6233
2007-03-09,8.6367
2007-03-12,8.72
2007-03-13,8.5967
2007-03-14,8.6333
2007-03-15,8.6833
2007-03-16,8.67
2007-03-19,8.7713
2007-03-20,8.7933
2007-03-21,8.92
2007-03-22,8.9267
2007-03-23,8.9733
2007-03-26,8.96
2007-03-27,8.9233
2007-03-28,8.84
2007-03-29,8.8067
2007-03-30,8.8333
2007-04-02,8.9033
2007-04-03,9.01
2007-04-04,9.0267
2007-04-05,9.0733
2007-04-09,9.0733
2007-04-10,9.0733
2007-04-11,9.01
2007-04-12,9.0767
2007-04-13,9.1033
2007-04-16,9.1833
2007-04-17,9.1967
2007-04-18,9.1567
2007-04-19,9.0753
2007-04-20,9.1967
2007-04-23,9.2033
2007-04-24,9.1933
2007-04-25,9.2252
2007-04-26,9.3267
2007-04-27,9.3967
2007-04-30,9.2933
2007-05-01,9.2933
2007-05-02,9.3567
2007-05-03,9.4067
2007-05-04,9.4067
2007-05-07,9.45
2007-05-08,9.42
2007-05-09,9.4833
2007-05-10,9.3267
2007-05-11,9.4167
2007-05-14,9.3467
2007-05-15,9.2833
2007-05-16,9.3167
2007-05-17,9.3733
2007-05-18,9.4533
2007-05-21,9.5067
2007-05-22,9.5733
2007-05-23,9.55
2007-05-24,9.3333
2007-05-25,9.4267
2007-05-29,9.5367
2007-05-30,9.5967
2007-05-31,9.6567
2007-06-01,9.68
2007-06-04,9.6733
2007-06-05,9.62
2007-06-06,9.58
2007-06-07,9.3967
2007-06-08,9.4833
2007-06-11,9.5033
2007-06-12,9.41
2007-06-13,9.4933
2007-06-14,9.5267
2007-06-15,9.6
2007-06-18,9.5667
2007-06-19,9.62
2007-06-20,9.56
2007-06-21,9.5533
2007-06-22,9.4767
2007-06-25,9.4067
2007-06-26,9.4433
2007-06-27,9.5567
2007-06-28,9.59
2007-06-29,9.5633
2007-07-02,9.61
2007-07-03,9.69
2007-07-05,9.69
2007-07-06,9.7367
2007-07-09,9.75
2007-07-10,9.6167
2007-07-11,9.6373
2007-07-12,9.8167
2007-07-13,9.8167
2007-07-16,9.77
2007-07-17,9.8267
2007-07-18,9.77
2007-07-19,9.8733
2007-07-20,9.7767
2007-07-23,9.7867
2007-07-24,9.5933
2007-07-25,9.5433
2007-07-26,9.36
2007-07-27,9.1067
2007-07-30,9.22
2007-07-31,9.0667
2007-08-01,9.0933
2007-08-02,9.16
2007-08-03,8.8533
2007-08-06,8.9467
2007-08-07,8.91
2007-08-08,8.9133
2007-08-09,8.6067
2007-08-10,8.8767
2007-08-13,8.9767
2007-08-14,8.8
2007-08-15,8.75
2007-08-16,8.68
2007-08-17,8.88
2007-08-20,8.8467
2007-08-21,8.9233
2007-08-22,9.0467
2007-08-23,8.9833
2007-08-24,9.08
2007-08-27,8.9967
2007-08-28,8.7933
2007-08-29,8.9767
2007-08-30,9.0
2007-08-31,9.1333
2007-09-04,9.2067
2007-09-05,9.0867
2007-09-06,9.12
2007-09-07,8.9367
2007-09-10,8.92
2007-09-11,9.0333
2007-09-12,9.0367
2007-09-13,9.0
2007-09-14,9.0
2007-09-17,8.97
2007-09-18,9.1233
2007-09-19,9.2733
2007-09-20,9.27
2007-09-21,9.27
2007-09-24,9.18
2007-09-25,9.2433
2007-09-26,9.27
2007-09-27,9.3067
2007-09-28,9.2137
2007-10-01,9.4033
2007-10-02,9.4674
2007-10-03,9.3967
2007-10-04,9.46
2007-10-05,9.6004
2007-10-08,9.6
2007-10-09,9.6367
2007-10-10,9.6867
2007-10-11,9.5267
2007-10-12,9.6783
2007-10-15,9.6533
2007-10-16,9.5675
2007-10-17,9.6533
2007-10-18,9.6395
2007-10-19,9.4167
2007-10-22,9.48
2007-10-23,9.5433
2007-10-24,9.37
2007-10-25,9.3
2007-10-26,9.5067
