,DXY Curncy
1999-12-31,101.87
2000-01-03,100.22
2000-01-04,100.41
2000-01-05,100.38
2000-01-06,100.48
2000-01-07,100.72
2000-01-10,100.99
2000-01-11,100.56
2000-01-12,100.62
2000-01-13,101.0
2000-01-14,101.72
2000-01-17,101.77
2000-01-18,101.86
2000-01-19,101.76
2000-01-20,101.36
2000-01-21,101.81
2000-01-24,102.2
2000-01-25,102.41
2000-01-26,102.44
2000-01-27,103.17
2000-01-28,104.48
2000-01-31,105.13
2000-02-01,104.92
2000-02-02,104.79
2000-02-03,103.8
2000-02-04,104.29
2000-02-07,104.64
2000-02-08,104.22
2000-02-09,103.5
2000-02-10,104.13
2000-02-11,104.1
2000-02-14,104.72
2000-02-15,104.69
2000-02-16,104.28
2000-02-17,104.27
2000-02-18,104.63
2000-02-21,104.51
2000-02-22,103.28
2000-02-23,103.53
2000-02-24,104.01
2000-02-25,105.26
2000-02-28,105.27
2000-02-29,105.92
2000-03-01,104.89
2000-03-02,105.78
2000-03-03,106.0
2000-03-06,106.16
2000-03-07,106.01
2000-03-08,105.96
2000-03-09,105.37
2000-03-10,105.71
2000-03-13,105.5
2000-03-14,105.2
2000-03-15,105.38
2000-03-16,105.18
2000-03-17,105.2
2000-03-20,105.15
2000-03-21,105.81
2000-03-22,106.04
2000-03-23,105.23
2000-03-24,104.77
2000-03-27,105.3
2000-03-28,105.53
2000-03-29,106.22
2000-03-30,105.47
2000-03-31,105.44
2000-04-03,105.54
2000-04-04,105.17
2000-04-05,105.29
2000-04-06,105.52
2000-04-07,105.97
2000-04-10,105.68
2000-04-11,105.94
2000-04-12,105.96
2000-04-13,106.14
2000-04-14,105.47
2000-04-17,106.13
2000-04-18,106.63
2000-04-19,107.13
2000-04-20,107.45
2000-04-24,107.28
2000-04-25,108.67
2000-04-26,108.55
2000-04-27,109.57
2000-04-28,110.14
2000-05-01,109.63
2000-05-02,110.26
2000-05-03,111.26
2000-05-04,111.8
2000-05-05,111.31
2000-05-08,111.45
2000-05-09,110.75
2000-05-10,110.8
2000-05-11,111.52
2000-05-12,109.9
2000-05-15,110.56
2000-05-16,111.31
2000-05-17,112.1
2000-05-18,112.09
2000-05-19,111.47
2000-05-22,111.18
