Date,PX_LAST
1999-12-31,4639.3
2000-01-31,4667.6
2000-02-29,4680.9
2000-03-31,4711.7
2000-04-30,4767.8
2000-05-31,4755.7
2000-06-30,4773.6
2000-07-31,4791.3
2000-08-31,4819.5
2000-09-30,4855.2
2000-10-31,4871.3
2000-11-30,4882.7
2000-12-31,4927.6
2001-01-31,4978.3
2001-02-28,5017.0
2001-03-31,5074.8
2001-04-30,5139.1
2001-05-31,5137.2
2001-06-30,5180.1
2001-07-31,5210.0
2001-08-31,5243.8
2001-09-30,5355.1
2001-10-31,5343.8
2001-11-30,5387.5
2001-12-31,5440.5
2002-01-31,5460.9
2002-02-28,5490.2
2002-03-31,5502.0
2002-04-30,5502.1
2002-05-31,5528.3
2002-06-30,5553.3
2002-07-31,5596.0
2002-08-31,5638.3
2002-09-30,5662.3
2002-10-31,5707.1
2002-11-30,5758.1
2002-12-31,5779.4
2003-01-31,5812.1
2003-02-28,5848.2
2003-03-31,5868.4
2003-04-30,5905.5
2003-05-31,5965.3
2003-06-30,6002.2
2003-07-31,6049.1
2003-08-31,6107.1
2003-09-30,6079.7
2003-10-31,6070.0
2003-11-30,6075.5
2003-12-31,6073.8
2004-01-31,6082.1
2004-02-29,6121.8
2004-03-31,6157.9
2004-04-30,6198.9
2004-05-31,6275.7
2004-06-30,6277.9
2004-07-31,6291.1
2004-08-31,6317.8
2004-09-30,6352.2
2004-10-31,6379.8
2004-11-30,6406.3
2004-12-31,6424.5
2005-01-31,6430.8
2005-02-28,6438.9
2005-03-31,6448.3
2005-04-30,6461.8
2005-05-31,6479.0
2005-06-30,6511.7
2005-07-31,6543.5
2005-08-31,6576.3
2005-09-30,6610.1
2005-10-31,6643.9
2005-11-30,6660.7
2005-12-31,6687.8
2006-01-31,6730.1
2006-02-28,6754.7
2006-03-31,6769.3
2006-04-30,6806.9
2006-05-31,6813.7
2006-06-30,6851.8
2006-07-31,6893.6
2006-08-31,6925.1
2006-09-30,6952.4
2006-10-31,7001.7
2006-11-30,7037.2
2006-12-31,7080.1
2007-01-31,7118.3
2007-02-28,7134.3
2007-03-31,7168.2
2007-04-30,7240.7
2007-05-31,7254.6
