,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
12/31/1999,1.11,4.67
1/31/2000,1.14,4.82
2/29/2000,1.13,4.97
3/31/2000,1.58,5.79
4/28/2000,1.73,5.84
5/31/2000,1.97,6.07
6/30/2000,1.78,5.85
7/31/2000,1.69,5.92
8/15/2000,1.64,6.06
8/16/2000,1.63,6.04
8/17/2000,1.62,6.06
8/18/2000,1.64,6.09
8/21/2000,1.66,6.09
8/22/2000,1.68,6.11
8/23/2000,1.69,6.17
8/24/2000,1.68,6.19
8/25/2000,1.68,6.18
8/28/2000,1.68,6.1
8/29/2000,1.67,6.07
8/30/2000,1.65,6.02
8/31/2000,1.65,6.13
9/1/2000,1.65,6.15
9/5/2000,1.64,6.13
9/6/2000,1.64,6.08
9/7/2000,1.65,6.04
9/8/2000,1.65,6.05
9/11/2000,1.67,6.04
9/12/2000,1.66,6.02
9/13/2000,1.67,6.04
9/14/2000,1.67,6.01
9/15/2000,1.69,6
9/18/2000,1.71,6.05
9/19/2000,1.77,6.13
9/20/2000,1.72,6.09
9/21/2000,1.73,6.12
9/22/2000,1.71,6.18
9/25/2000,1.7,6.19
9/26/2000,1.72,6.23
9/27/2000,1.72,6.29
9/28/2000,1.7,6.26
9/29/2000,1.69,6.38
10/2/2000,1.68,6.38
10/3/2000,1.69,6.37
10/4/2000,1.68,6.35
10/5/2000,1.7,6.39
10/6/2000,1.74,6.39
10/10/2000,1.77,6.47
10/11/2000,1.82,6.52
10/12/2000,1.84,6.62
10/13/2000,1.92,6.7
10/16/2000,1.91,6.73
10/17/2000,1.92,6.95
10/18/2000,1.93,6.98
10/19/2000,1.93,7.03
10/20/2000,1.97,7.05
10/23/2000,1.96,7.08
10/24/2000,1.95,7.04
10/25/2000,1.93,7
10/26/2000,1.94,7.05
10/27/2000,1.91,7.04
10/30/2000,1.87,7.14
10/31/2000,1.87,7.16
11/1/2000,1.87,7.2
11/2/2000,1.81,7.22
11/3/2000,1.82,7.16
11/6/2000,1.83,7.19
11/7/2000,1.84,7.22
11/8/2000,1.82,7.23
11/9/2000,1.85,7.28
11/10/2000,1.86,7.31
11/13/2000,1.86,7.38
11/14/2000,1.85,7.4
11/15/2000,1.85,7.46
11/16/2000,1.82,7.46
11/17/2000,1.82,7.47
11/20/2000,1.83,7.52
11/21/2000,1.87,7.58
11/22/2000,1.9,7.76
11/24/2000,1.89,7.73
11/27/2000,1.88,7.81
11/28/2000,1.89,7.93
11/29/2000,1.91,8
11/30/2000,1.98,8.29
12/1/2000,1.92,8.28
12/4/2000,1.9,8.41
12/5/2000,1.9,8.61
12/6/2000,1.91,8.66
12/7/2000,1.93,8.66
12/8/2000,1.9,8.61
12/11/2000,1.89,8.57
12/12/2000,1.89,8.47
12/13/2000,1.91,8.44
12/14/2000,1.91,8.45
12/15/2000,1.94,9.04
12/18/2000,1.93,8.45
12/19/2000,1.92,8.38
12/20/2000,1.91,8.42
12/21/2000,1.89,8.5
12/22/2000,1.9,8.53
12/26/2000,1.9,8.54
12/27/2000,1.85,8.47
12/28/2000,1.86,8.44
12/29/2000,1.87,8.49
1/2/2001,1.9,8.65
1/3/2001,1.87,8.5
1/4/2001,1.85,8.52
1/5/2001,1.86,8.54
1/8/2001,1.88,8.55
1/9/2001,1.84,8.37
1/10/2001,1.84,8.26
1/11/2001,1.82,8.03
1/12/2001,1.83,7.81
1/16/2001,1.83,7.8
1/17/2001,1.86,7.87
1/18/2001,1.88,7.8
1/19/2001,1.86,7.69
1/22/2001,1.83,7.6
1/23/2001,1.81,7.47
1/24/2001,1.8,7.36
1/25/2001,1.81,7.28
1/26/2001,1.8,7.26
1/29/2001,1.79,7.19
1/30/2001,1.82,7.22
1/31/2001,1.77,6.87
2/1/2001,1.78,7.09
2/2/2001,1.75,6.99
2/5/2001,1.77,6.96
2/6/2001,1.78,6.92
2/7/2001,1.8,6.92
2/8/2001,1.79,6.77
2/9/2001,1.79,6.79
2/12/2001,1.77,6.72
2/13/2001,1.76,6.67
2/14/2001,1.74,6.6
2/15/2001,1.72,6.48
2/16/2001,1.75,6.59
2/20/2001,1.74,6.64
2/21/2001,1.76,6.62
2/22/2001,1.8,6.67
2/23/2001,1.83,6.74
2/26/2001,1.82,6.82
2/27/2001,1.83,6.86
2/28/2001,1.81,6.84
3/1/2001,1.83,6.86
3/2/2001,1.74,6.79
3/5/2001,1.73,6.76
3/6/2001,1.72,6.75
3/7/2001,1.74,6.78
3/8/2001,1.73,6.8
3/9/2001,1.73,6.74
3/12/2001,1.76,6.76
3/13/2001,1.75,6.84
3/14/2001,1.77,7
3/15/2001,1.78,7.07
3/16/2001,1.8,7.13
3/19/2001,1.79,7.1
3/20/2001,1.82,7.2
3/21/2001,1.81,7.3
3/22/2001,1.83,7.47
3/23/2001,1.83,7.38
3/26/2001,1.83,7.4
3/27/2001,1.78,7.28
3/28/2001,1.78,7.35
3/29/2001,1.79,7.85
3/30/2001,1.89,7.17
4/2/2001,1.88,7.11
4/3/2001,1.9,7.21
4/4/2001,1.89,7.38
4/5/2001,1.85,7.36
4/6/2001,1.87,7.47
4/9/2001,1.84,7.49
4/10/2001,1.8,7.38
4/11/2001,1.77,7.31
4/12/2001,1.79,7.31
4/16/2001,1.77,7.18
4/17/2001,1.78,7.22
4/18/2001,1.8,7.3
4/19/2001,1.78,7.22
4/20/2001,1.78,7.18
4/23/2001,1.81,7.27
4/24/2001,1.83,7.23
4/25/2001,1.8,7.14
4/26/2001,1.79,7.18
4/27/2001,1.76,7.15
4/30/2001,1.75,6.92
5/1/2001,1.78,6.93
5/2/2001,1.78,6.86
5/3/2001,1.8,6.88
5/4/2001,1.79,6.9
5/7/2001,1.8,6.86
5/8/2001,1.79,6.87
5/9/2001,1.81,6.92
5/10/2001,1.78,6.83
5/11/2001,1.78,6.64
5/14/2001,1.71,6.69
5/15/2001,1.67,6.66
5/16/2001,1.68,6.71
5/17/2001,1.66,6.7
5/18/2001,1.63,6.65
5/21/2001,1.62,6.66
5/22/2001,1.62,6.67
5/23/2001,1.55,6.67
5/24/2001,1.6,6.56
5/25/2001,1.57,6.57
5/29/2001,1.59,6.56
5/30/2001,1.59,6.48
5/31/2001,1.57,6.53
6/1/2001,1.58,6.55
6/4/2001,1.6,6.58
6/5/2001,1.6,6.64
6/6/2001,1.6,6.55
6/7/2001,1.59,6.53
6/8/2001,1.55,6.46
6/11/2001,1.53,6.51
6/12/2001,1.54,6.58
6/13/2001,1.55,6.59
6/14/2001,1.54,6.71
6/15/2001,1.53,6.79
6/18/2001,1.57,6.87
6/19/2001,1.61,7.03
6/20/2001,1.6,7.16
6/21/2001,1.61,7.17
6/22/2001,1.62,7.23
6/25/2001,1.62,7.22
6/26/2001,1.59,7.16
6/27/2001,1.59,7.1
6/28/2001,1.58,6.99
6/29/2001,1.56,6.97
7/2/2001,1.58,7.04
7/3/2001,1.57,6.98
7/5/2001,1.6,6.97
7/6/2001,1.62,7.02
7/9/2001,1.65,7
7/10/2001,1.66,7.05
7/11/2001,1.68,7.06
7/12/2001,1.78,7.12
7/13/2001,1.78,7.11
7/16/2001,1.78,7.16
7/17/2001,1.74,7.19
7/18/2001,1.77,7.31
7/19/2001,1.75,7.21
7/20/2001,1.72,7.21
7/23/2001,1.71,7.22
7/24/2001,1.71,7.24
7/25/2001,1.68,7.19
7/26/2001,1.71,7.21
7/27/2001,1.75,7.25
7/30/2001,1.76,7.23
7/31/2001,1.76,7.15
8/1/2001,1.75,7.11
8/2/2001,1.72,7
8/3/2001,1.72,6.94
8/6/2001,1.7,6.92
8/7/2001,1.74,6.91
8/8/2001,1.73,7.02
8/9/2001,1.72,6.98
8/10/2001,1.73,7
8/13/2001,1.72,7.07
8/14/2001,1.71,6.99
8/15/2001,1.69,6.95
8/16/2001,1.7,7
8/17/2001,1.72,7.06
8/20/2001,1.71,7.01
8/21/2001,1.74,7.03
8/22/2001,1.71,7.01
8/23/2001,1.71,7.02
8/24/2001,1.69,6.99
8/27/2001,1.68,6.99
8/28/2001,1.71,7.12
8/29/2001,1.73,7.17
8/30/2001,1.73,7.11
8/31/2001,1.71,7.11
9/4/2001,1.67,6.95
9/5/2001,1.67,6.98
9/6/2001,1.71,7.09
9/7/2001,1.75,7.17
9/10/2001,1.73,7.15
9/14/2001,1.94,
9/17/2001,1.91,
9/18/2001,1.89,
9/19/2001,2.02,
9/20/2001,2,
9/21/2001,2.07,8.62
9/24/2001,2.1,8.6
9/25/2001,2.1,8.63
9/26/2001,2.13,8.72
9/27/2001,2.19,8.81
9/28/2001,2.07,8.99
10/1/2001,2.07,9
10/2/2001,2.03,9.02
10/3/2001,2.03,8.99
10/4/2001,2.06,9
10/5/2001,2.08,8.94
10/9/2001,2.08,8.87
10/10/2001,2.09,8.88
10/11/2001,2.01,8.81
10/12/2001,1.96,8.63
10/15/2001,1.95,8.64
10/16/2001,1.96,8.74
10/17/2001,1.93,8.74
10/18/2001,1.92,8.75
10/19/2001,1.89,8.72
10/22/2001,1.88,8.73
10/23/2001,1.86,8.71
10/24/2001,1.89,8.77
10/25/2001,1.91,8.82
10/26/2001,1.9,8.73
10/29/2001,1.95,8.78
10/30/2001,1.98,8.81
10/31/2001,1.98,8.82
11/1/2001,1.98,8.81
11/2/2001,1.93,8.73
11/5/2001,1.95,8.81
11/6/2001,1.94,8.86
11/7/2001,1.94,8.93
11/8/2001,1.88,8.81
11/9/2001,1.88,8.64
11/13/2001,1.84,8.68
11/14/2001,1.78,8.44
11/15/2001,1.76,8.09
11/16/2001,1.74,7.87
11/19/2001,1.79,7.96
11/20/2001,1.74,7.88
11/21/2001,1.68,7.76
11/23/2001,1.65,7.71
11/26/2001,1.65,7.71
11/27/2001,1.66,7.79
11/28/2001,1.67,7.77
11/29/2001,1.72,7.87
11/30/2001,1.68,7.82
