,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
12/31/1999,1469.25,568.78,1953.31,505.397,998.95,549.3,
1/3/2000,1455.22,555.66,1925.2,498.122,993.01,548.29,
1/4/2000,1399.42,539.4,1851.46,479.035,997.38,547.66,281.5
1/5/2000,1402.11,543.94,1853.19,479.457,992.11,546.83,280.45
1/6/2000,1403.45,552.57,1839.56,475.892,995.14,547.01,279.4
1/7/2000,1441.47,562.34,1890.27,489.011,998.03,546.73,282.1
1/10/2000,1457.6,562.52,1942.71,502.569,995.95,546.54,281.6
1/11/2000,1438.56,556.63,1906.71,493.255,990.75,546.04,282.25
1/12/2000,1432.25,558.59,1896.77,490.613,989.45,545.97,282.25
1/13/2000,1449.68,565.6,1940.31,501.851,994.04,545.91,282.1
1/14/2000,1465.15,569.98,1965.18,508.283,992.95,545.75,283.3
1/17/2000,,,,,,,285.35
1/18/2000,1455.14,563.57,1987.7,514.107,990.48,545.68,285.8
1/19/2000,1455.9,563.13,2013.05,520.656,992.17,545.77,287.65
1/20/2000,1445.57,556.95,2041.42,527.984,990.93,545.55,288.1
1/21/2000,1441.36,556.73,2067.16,534.629,992.05,545.47,287.75
1/24/2000,1401.53,546.59,2025.37,523.806,997.38,546.77,287.2
1/25/2000,1410.03,544.55,2019.57,522.305,997.68,546.7,288
1/26/2000,1404.09,548.72,2017.74,521.812,998.8,546.58,285.9
1/27/2000,1398.56,547.57,2002.07,517.712,999.48,546.77,285.55
1/28/2000,1360.16,534.84,1954.22,505.305,1000.47,547.16,286.75
1/31/2000,1394.46,549.49,1921.94,496.954,995.43,546.93,283.3
2/1/2000,1409.28,550.12,1951.25,504.508,997.91,547.38,283
2/2/2000,1409.12,548.64,1975.06,510.62,997.25,547.37,285.6
2/3/2000,1424.97,548.36,2020.24,522.281,1003.1,548.04,285.05
2/4/2000,1424.37,543.98,2035.52,526.215,999.57,547.84,293.65
2/7/2000,1424.24,541.64,2062.16,533.091,995.22,547.65,312.7
2/8/2000,1441.72,543.37,2081.97,538.18,998.77,548.25,296.25
2/9/2000,1411.7,532.19,2076.23,536.657,995.71,548.29,308.6
2/10/2000,1416.83,527.69,2100.65,542.929,992.24,548.08,309
2/11/2000,1387.12,521.06,2081.2,537.851,994.01,548.24,311.5
2/14/2000,1389.94,520.62,2092.1,540.639,998.75,548.7,308.35
2/15/2000,1402.05,526.77,2093.17,540.911,997.72,548.17,304.25
2/16/2000,1387.67,524.15,2122.48,548.442,997.67,548.18,302.5
2/17/2000,1388.26,519.97,2163.84,559.121,997.64,548.26,304.75
2/18/2000,1346.09,506.05,2114.74,546.433,1001.71,548.34,303.55
2/21/2000,,,,,,,305.25
2/22/2000,1352.17,507.93,2096.69,541.761,1009.07,549.29,302.25
2/23/2000,1360.69,504.13,2130.89,550.566,1004.24,548.93,302
2/24/2000,1353.43,496.24,2147.48,554.846,1007.63,549.32,298.75
2/25/2000,1333.36,491.15,2157.58,557.417,1007.41,554.07,294
2/28/2000,1348.05,499.22,2161.35,558.333,1002.82,549.02,292.5
2/29/2000,1366.42,507.4,2239.32,578.471,1004.66,547.99,293.65
3/1/2000,1379.19,513.73,2280.5,589.087,1005.03,547.73,292.9
3/2/2000,1381.76,515.37,2263.76,584.751,1005.22,547.72,289.9
3/3/2000,1409.17,522.21,2318.89,598.969,1007.11,547.96,288.5
3/6/2000,1391.28,515.4,2332.58,602.502,1005.78,548.21,288.8
3/7/2000,1355.62,508.16,2307.6,596.035,1007.3,548.5,289.75
3/8/2000,1366.7,508.3,2305.5,595.432,1006.97,548.68,291.2
3/9/2000,1401.69,514.55,2349.73,606.845,1008.01,548.93,290.5
3/10/2000,1395.07,513.29,2340.89,604.561,1005.43,548.73,290.25
3/13/2000,1383.62,511.48,2288.08,590.855,1006.52,548.65,290.65
3/14/2000,1359.15,507.23,2221.12,573.552,1004.17,547.91,288.75
3/15/2000,1392.15,522.49,2168,559.779,1003.91,547.26,289.15
