Date,M2_Growth
12/31/1999,
1/31/2000,0.006063073
2/29/2000,0.002841334
3/31/2000,0.006536919
4/30/2000,0.011766433
5/31/2000,-0.002544315
6/30/2000,0.003749791
7/31/2000,0.003694196
8/31/2000,0.005851229
9/30/2000,0.007352941
10/31/2000,0.003305073
11/30/2000,0.002334774
12/31/2000,0.009111941
1/31/2001,0.010184199
2/28/2001,0.007713773
3/31/2001,0.011389611
4/30/2001,0.012511918
5/31/2001,-0.000369851
6/30/2001,0.008281693
7/31/2001,0.005738964
8/31/2001,0.006445707
9/30/2001,0.020783926
10/31/2001,-0.0021146
11/30/2001,0.008111369
12/31/2001,0.009741752
1/31/2002,0.003735648
2/28/2002,0.005336782
3/31/2002,0.002144675
4/30/2002,1.81749E-05
5/31/2002,0.004739251
6/30/2002,0.004501828
7/31/2002,0.00763045
8/31/2002,0.007502261
9/30/2002,0.00423856
10/31/2002,0.007849871
11/30/2002,0.008857088
12/31/2002,0.003685504
1/31/2003,0.005626194
2/28/2003,0.00617284
3/31/2003,0.003442165
4/30/2003,0.006282279
5/31/2003,0.010024643
6/30/2003,0.006147746
7/31/2003,0.007753219
8/31/2003,0.009497143
9/30/2003,-0.004506801
10/31/2003,-0.001598023
11/30/2003,0.000905275
12/31/2003,-0.000279891
1/31/2004,0.00136466
2/29/2004,0.006485021
3/31/2004,0.005862388
4/30/2004,0.006614077
5/31/2004,0.012237679
6/30/2004,0.000350436
7/31/2004,0.002098202
8/31/2004,0.004226155
9/30/2004,0.005415447
10/31/2004,0.004326154
11/30/2004,0.004136553
12/31/2004,0.002832905
1/31/2005,0.00097966
2/28/2005,0.001257979
3/31/2005,0.001457749
4/30/2005,0.002089201
5/31/2005,0.002654731
6/30/2005,0.00502173
7/31/2005,0.004859785
8/31/2005,0.004987607
9/30/2005,0.005113387
10/31/2005,0.005087373
11/30/2005,0.002522257
12/31/2005,0.004052155
1/31/2006,0.006285196
2/28/2006,0.003641909
3/31/2006,0.002156796
4/30/2006,0.005523807
5/31/2006,0.000997989
6/30/2006,0.005560583
7/31/2006,0.006063595
8/31/2006,0.004548671
9/30/2006,0.003926702
10/31/2006,0.007041147
11/30/2006,0.00504462
12/31/2006,0.006059236
1/31/2007,0.00536645
2/28/2007,0.002242687
3/31/2007,0.004729221
4/30/2007,0.010012844
5/31/2007,0.001916026
6/30/2007,0.004555559
7/31/2007,0.004222061
