Date,PX_LAST
2/28/2026,0
1/31/2026,0
12/31/2025,0
11/30/2025,0
10/31/2025,0
9/30/2025,0
8/31/2025,0
7/31/2025,0
6/30/2025,0
5/31/2025,0
4/30/2025,0
3/31/2025,0
2/28/2025,0
1/31/2025,0
12/31/2024,0
11/30/2024,0
10/31/2024,0
9/30/2024,0
8/31/2024,0
7/31/2024,0
6/30/2024,0
5/31/2024,0
4/30/2024,0
3/31/2024,0
2/29/2024,0
1/31/2024,0
12/31/2023,0
11/30/2023,0
10/31/2023,0
9/30/2023,0
8/31/2023,0
7/31/2023,0
6/30/2023,0
5/31/2023,0
4/30/2023,0
3/31/2023,0
2/28/2023,0
1/31/2023,0
12/31/2022,0
11/30/2022,0
10/31/2022,0
9/30/2022,0
8/31/2022,0
7/31/2022,0
6/30/2022,0
5/31/2022,0
4/30/2022,0
3/31/2022,0
2/28/2022,0
1/31/2022,0
12/31/2021,0
11/30/2021,0
10/31/2021,0
9/30/2021,0
8/31/2021,0
7/31/2021,0
6/30/2021,0
5/31/2021,0
4/30/2021,0
3/31/2021,0
2/28/2021,0
1/31/2021,0
12/31/2020,0
11/30/2020,0
10/31/2020,0
9/30/2020,0
8/31/2020,0
7/31/2020,0
6/30/2020,0
5/31/2020,0
4/30/2020,1
3/31/2020,1
2/29/2020,1
1/31/2020,0
12/31/2019,0
11/30/2019,0
10/31/2019,0
9/30/2019,0
8/31/2019,0
7/31/2019,0
6/30/2019,0
5/31/2019,0
4/30/2019,0
3/31/2019,0
2/28/2019,0
1/31/2019,0
12/31/2018,0
11/30/2018,0
10/31/2018,0
9/30/2018,0
8/31/2018,0
7/31/2018,0
6/30/2018,0
5/31/2018,0
4/30/2018,0
3/31/2018,0
2/28/2018,0
1/31/2018,0
12/31/2017,0
11/30/2017,0
10/31/2017,0
9/30/2017,0
8/31/2017,0
7/31/2017,0
6/30/2017,0
5/31/2017,0
4/30/2017,0
3/31/2017,0
2/28/2017,0
1/31/2017,0
12/31/2016,0
11/30/2016,0
10/31/2016,0
9/30/2016,0
8/31/2016,0
7/31/2016,0
6/30/2016,0
5/31/2016,0
4/30/2016,0
3/31/2016,0
2/29/2016,0
1/31/2016,0
12/31/2015,0
11/30/2015,0
10/31/2015,0
9/30/2015,0
8/31/2015,0
7/31/2015,0
6/30/2015,0
5/31/2015,0
4/30/2015,0
