Date,IG_Spread,HY_Spread,HY_Change,IG_Change,HY_IG_Spread
1999-12-31,1.11,4.67,,,3.5599999999999996
2000-01-03,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-04,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-05,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-06,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-07,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-10,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-11,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-12,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-13,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-14,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-18,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-19,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-20,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-21,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-24,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-25,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-26,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-27,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-28,1.11,4.67,0.0,0.0,3.5599999999999996
2000-01-31,1.14,4.82,0.15000000000000036,0.029999999999999805,3.6800000000000006
2000-02-01,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-02,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-03,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-04,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-07,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-08,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-09,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-10,1.14,4.82,0.0,0.0,3.6800000000000006
2000-02-11,1.14,4.82,0.0,0.0,3.6800000000000006
