,Static BM,ML,Jump,HMM,HSMM
Ann. Return,13.26%,13.98%,16.31%,12.44%,12.68%
Ann. Vol,17.43%,14.90%,14.59%,15.33%,16.42%
Sharpe,0.802,0.953,1.109,0.842,0.809
Sortino,0.988,1.248,1.423,1.055,1.035
Calmar,0.432,0.597,0.557,0.427,0.457
Max Drawdown,-30.7%,-23.4%,-29.3%,-29.1%,-27.7%
VaR (95%),-1.555%,-1.509%,-1.390%,-1.452%,-1.551%
CVaR (95%),-2.616%,-2.238%,-2.174%,-2.373%,-2.458%
Skewness,-0.400,-0.376,-0.287,-0.387,-0.352
Excess Kurtosis,13.363,5.514,8.263,6.668,8.577
Win Rate,66.7%,67.9%,71.4%,69.0%,66.7%
Switches,0,34,8,31,25
Sharpe Alpha,0.000,0.151,0.307,0.040,0.007
