,Static BM,ML,Jump,HMM,HSMM
Ann. Return,5.61%,11.12%,11.59%,9.15%,7.46%
Ann. Vol,8.87%,10.13%,11.69%,10.82%,12.30%
Sharpe,0.659,1.092,0.997,0.864,0.647
Sortino,0.848,1.518,1.391,1.131,0.871
Calmar,0.255,0.499,0.400,0.326,0.258
Max Drawdown,-22.0%,-22.3%,-29.0%,-28.0%,-29.0%
VaR (95%),-0.847%,-1.007%,-1.138%,-1.101%,-1.217%
CVaR (95%),-1.308%,-1.480%,-1.700%,-1.650%,-1.807%
Skewness,-0.292,-0.226,0.074,-0.272,-0.089
Excess Kurtosis,8.964,2.546,4.961,3.799,7.057
Win Rate,63.1%,66.7%,67.9%,66.7%,59.5%
Switches,0,34,8,31,25
Sharpe Alpha,0.000,0.432,0.338,0.204,-0.013
