,Static BM,ML,Jump,HMM,HSMM
Ann. Return,8.38%,13.40%,13.78%,10.99%,11.08%
Ann. Vol,12.43%,12.35%,12.82%,13.15%,14.72%
Sharpe,0.710,1.081,1.072,0.859,0.788
Sortino,0.883,1.463,1.446,1.113,1.027
Calmar,0.374,0.541,0.464,0.385,0.394
Max Drawdown,-22.4%,-24.8%,-29.7%,-28.5%,-28.1%
VaR (95%),-1.124%,-1.254%,-1.255%,-1.337%,-1.388%
CVaR (95%),-1.846%,-1.851%,-1.907%,-2.036%,-2.200%
Skewness,-0.418,-0.295,-0.112,-0.300,-0.266
Excess Kurtosis,12.000,2.946,5.097,3.922,7.343
Win Rate,66.7%,66.7%,70.2%,64.3%,65.5%
Switches,0,34,8,31,25
Sharpe Alpha,0.000,0.371,0.362,0.150,0.078
