,Static BM,MV No-Regime,ML,Jump,HMM,HSMM
Initial ($),"$100,000","$100,000","$100,000","$100,000","$100,000","$100,000"
Final ($),"$175,379","$206,240","$239,406","$246,396","$207,187","$208,289"
Total Return,75.4%,106.2%,139.4%,146.4%,107.2%,108.3%
Ann. Return,8.38%,10.92%,13.31%,13.78%,10.99%,11.08%
Ann. Vol,12.43%,11.88%,12.44%,12.82%,13.15%,14.72%
Sharpe,0.71,0.932,1.067,1.072,0.859,0.788
Sortino,0.664,0.895,0.998,1.016,0.8,0.737
Calmar,0.374,0.409,0.536,0.464,0.385,0.394
Max Drawdown,-22.4%,-26.7%,-24.8%,-29.7%,-28.5%,-28.1%
Win Rate (Mo),66.7%,65.5%,66.7%,70.2%,64.3%,65.5%
Switches,0,0,34,8,31,25
