Model,Peak,Trough,Recovery,Depth,DD Days,Rec Days
HSMM,2020-02-19,2020-03-18,2020-07-15,-24.0%,28,119
HMM,2020-02-19,2020-03-20,2020-05-26,-17.3%,30,67
Jump,2020-02-19,2020-03-19,2020-07-15,-16.9%,29,118
ML,2020-02-19,2020-03-19,2020-07-22,-18.4%,29,125
Static BM,2020-02-20,2020-03-23,2020-07-21,-22.1%,32,120
MV No-Regime,2020-02-21,2020-03-18,2020-05-27,-16.9%,26,70
MV No-Regime,2020-08-06,2020-09-23,2020-12-08,-6.3%,48,76
ML,2020-08-10,2020-09-23,2020-11-13,-6.5%,44,51
Static BM,2020-09-02,2020-09-23,2020-11-10,-5.8%,21,48
HSMM,2020-09-02,2020-09-23,2020-11-05,-6.8%,21,43
HMM,2020-09-02,2020-09-23,2020-12-04,-8.9%,21,72
Jump,2020-09-02,2020-09-23,2020-10-12,-8.4%,21,19
Jump,2020-10-12,2020-10-30,2020-11-05,-6.2%,18,6
HSMM,2021-02-09,2021-03-04,2021-06-02,-7.0%,23,90
HMM,2021-02-09,2021-03-04,2021-06-08,-5.2%,23,96
Jump,2021-02-09,2021-03-04,2021-03-15,-6.2%,23,11
ML,2021-02-09,2021-03-04,2021-04-26,-6.9%,23,53
MV No-Regime,2021-02-10,2021-03-04,2021-06-08,-7.2%,22,96
Jump,2021-03-15,2021-03-24,2021-04-15,-5.4%,9,22
Jump,2021-04-28,2021-05-12,2021-06-01,-5.1%,14,20
Static BM,2021-11-08,2022-10-14,2024-07-15,-22.4%,340,640
HMM,2021-11-08,2022-10-14,2024-11-07,-28.5%,340,755
HSMM,2021-11-08,2022-10-14,2024-07-16,-28.1%,340,641
MV No-Regime,2021-11-09,2022-10-20,2024-07-16,-26.7%,345,635
ML,2021-11-19,2022-10-20,2024-02-09,-24.8%,335,477
Jump,2022-01-03,2022-11-03,2024-07-16,-29.7%,304,621
MV No-Regime,2024-07-16,2024-08-07,2024-08-21,-6.2%,22,14
HSMM,2024-07-16,2024-08-07,2024-09-13,-6.8%,22,37
ML,2024-07-16,2024-08-07,2024-09-19,-8.4%,22,43
Jump,2024-07-16,2024-08-07,2024-08-19,-6.2%,22,12
Static BM,2024-12-04,2025-04-08,2025-06-30,-12.4%,125,83
HSMM,2024-12-06,2025-01-13,2025-02-13,-5.1%,38,31
HSMM,2025-02-18,2025-04-08,2025-06-03,-14.5%,49,56
MV No-Regime,2025-02-19,2025-04-08,2025-05-13,-10.6%,48,35
ML,2025-02-19,2025-04-08,2025-06-27,-11.2%,48,80
HMM,2025-02-19,2025-04-08,2025-05-13,-8.9%,48,35
Jump,2025-02-19,2025-04-08,2025-05-19,-10.5%,48,41
